@relation gesture_recognition
@attribute mean_x real
@attribute mean_y real
@attribute mean_z real
@attribute variance_x real
@attribute variance_y real
@attribute variance_z real
@attribute gesture_type{up, down, forward, backward}

@data
-0.09517161,9.271767,0.5685603,4.0864267,120.62971,26.039602,forward
0.4121348,9.585546,0.12390391,6.80748,113.03881,9.645673,forward
-0.32966867,9.67413,0.1411972,2.8251426,93.83588,4.9554887,forward
-0.3804779,9.62013,-0.8720856,1.7161851,61.270428,7.121286,forward
-0.5748088,9.467435,-0.9098587,3.0235841,86.263084,28.595457,forward
-1.0335668,9.242108,-0.48382315,6.1086135,87.26104,27.840727,forward
-1.3672918,9.509595,-0.4467112,8.959714,80.308754,34.863544,forward
1.3467993,9.613609,0.21408589,0.9879701,31.733759,20.052637,forward
0.75822705,8.936584,0.49726868,0.661325,41.882874,1.6226252,forward
0.9820862,9.764183,0.4045588,1.7623676,35.18411,2.5735323,forward
0.6616618,8.98367,0.36332193,2.9744146,40.695522,8.695191,forward
0.46587119,9.892136,0.28151956,3.333802,58.556717,11.808555,forward
0.85147095,9.487119,-0.034777325,1.2086855,63.415867,1.7766147,forward
-0.14291687,9.355197,0.48114625,1.6399828,27.17358,7.1096563,forward
0.79297966,9.551932,-0.56963456,1.8170159,51.04163,7.5526366,forward
0.46533456,9.146609,-0.36504617,1.8338593,28.822947,3.786894,forward
0.19904582,9.583285,-0.56216687,0.5335705,38.055492,6.738251,forward
-1.1145681,11.728358,-1.1462173,1.2454789,13.295029,2.9311638,backward
-0.68361664,11.408732,-1.0983353,0.21894513,11.249991,2.425008,backward
-0.51349,10.052749,-0.24380748,1.1861898,4.1916976,0.27055475,backward
-0.36144543,10.924584,-0.24623299,0.8964265,10.406922,1.1401062,backward
-0.3858328,11.230295,-0.33317375,2.4967315,17.427664,3.6881926,backward
0.54022217,11.903469,1.019404,1.6935006,9.745461,1.869042,backward
0.124165855,11.131665,-0.09223938,1.7451898,13.144669,3.2766044,backward
0.450442,11.123157,0.26343283,2.400726,11.668659,2.4172337,backward
0.43075052,11.505165,0.64264935,1.1372247,11.522885,1.6823684,backward
0.6075261,11.443448,-0.2672831,1.7137145,13.174476,4.183482,backward
0.63774717,12.783695,-0.40694174,2.294568,23.059462,7.1653423,backward
0.68565816,12.028938,0.16034205,3.2063596,10.594159,12.939733,backward
1.1078482,10.701928,0.10751057,23.920504,83.00121,42.37949,backward
1.6599134,13.3391905,0.71893054,16.309675,11.065261,16.37057,backward
0.6949158,12.084427,-0.3857956,1.2745477,6.899037,4.109551,backward
1.9238052,11.668773,0.81117505,13.578448,15.763871,23.555954,backward
0.06550852,11.619687,0.0139033,1.5510569,4.5415897,1.560081,backward
0.5596466,11.734874,-0.010437012,1.8227962,11.541642,0.23148836,backward
0.9824829,11.620084,0.02826945,2.9509182,12.608174,2.1839943,backward
0.70329285,9.998413,-0.58118695,1.4842845,7.5487046,1.9527136,backward
0.20171356,9.849442,1.0599035,0.34509683,58.271362,2.522164,forward
0.6797536,9.802887,0.22991435,0.3822429,41.220627,6.2085896,forward
0.65753937,9.216708,0.7896271,3.7169697,53.4091,9.684922,forward
0.5786641,9.334554,0.41320547,0.18398632,49.79532,8.081372,forward
0.2510605,9.167358,-0.14717102,5.772045,91.50182,2.8825223,forward
-0.25811258,9.58076,-0.6257477,0.057499122,53.933483,15.90384,forward
0.23030853,9.784795,-1.1217448,0.46872494,34.29234,16.014551,forward
-0.11432648,9.89014,-1.1869202,1.5010452,56.121292,8.715718,forward
-0.06391653,8.713397,-1.1494141,2.1942205,40.80895,14.529786,forward
-0.2868927,9.446655,-0.9312714,5.8901086,56.912956,24.362509,forward
-0.68253,9.472466,-0.3435538,2.9917605,32.305805,14.092691,forward
-0.9044113,9.405583,-0.52957916,3.6747456,56.97548,21.743467,forward
-0.87754315,9.718289,-0.6067276,7.79583,62.370205,18.555761,forward
0.42238107,9.404518,-0.017351786,1.3218603,21.408644,4.722304,forward
0.10979462,9.897461,0.67896014,1.7130445,33.597584,4.4405575,forward
0.6750946,9.086619,1.121755,0.47249126,40.514423,2.2562525,forward
